4.864320078882064990e+01 4.818618007011023963e+01 1.541171514948927346e+01 3.525634425914616799e+01 4.732821885411514984e+01 5.407664091663361150e-01 1.519866024531290716e+00 6.171687316532664669e-01 6.171687316532664669e-01 4.235668596532740082e-01
1.820342144403467088e+01 2.104929566632601734e+01 1.549591184371909414e+01 1.354869834592440725e+01 2.016456558556528122e+01 1.028138991553052772e+00 2.803146191637690521e+00 8.516565868222646385e-01 8.516565868222646385e-01 1.241656188503295954e+00
1.812044696762754370e+01 1.798383279849113592e+01 1.334889614085870235e+01 1.211834958420049269e+01 1.857554098466095738e+01 8.656814640908138125e-01 2.803146191637690521e+00 6.171687316532664669e-01 6.171687316532664669e-01 1.487564907889256383e-01
1.298788292701526537e+01 1.498537458350510221e+01 2.690456391185960427e+01 1.182386601561027462e+01 1.685939441568429231e+01 1.596740337670888854e+00 2.336498858144453905e+00 1.007981823601595828e+00 1.007981823601595828e+00 6.539847843164584562e-01
1.616462002374526818e+01 1.505237923635394992e+01 1.187545399183686712e+01 1.165558969070157858e+01 1.635090654339490968e+01 -9.213513379938137460e-01 9.365568576647455012e-01 -4.771079258020556324e-01 -4.771079258020556324e-01 1.557915818543374221e-02
1.673358786196556380e+01 1.130011867681835547e+01 1.932686143117587108e+01 9.131444817071141529e+00 1.600421026683396519e+01 5.339382677961945073e-02 -4.633851428149632912e-01 9.298192052119301776e-01 9.298192052119301776e-01 9.985547083540644575e-01
1.112688395616970638e+01 1.218793032706561519e+01 1.692725564562602258e+01 7.701096055347225189e+00 1.305151364478993692e+01 1.759197865133127703e+00 2.278167941457799550e+00 1.086144441991261367e+00 1.086144441991261367e+00 7.237443394897160598e-01
1.019045772243213044e+01 1.312599546694951336e+01 1.469604324853581012e+01 8.752823086026575439e+00 1.275682180971313429e+01 8.656814640908138125e-01 2.219837024771145195e+00 3.826808764842690724e-01 3.826808764842690724e-01 5.151589872923314356e-02
1.739738367322258128e+01 7.866130218314795641e+00 5.509986179261772143e-01 6.817645349576572755e+00 1.224255566614773549e+01 -6.776650468004554728e-01 1.169880524411363698e+00 -7.115957809710530269e-01 -7.115957809710530269e-01 -3.304113784441251034e-02
1.029713919209843631e+01 1.389654897471129047e+01 1.019152010724048019e+01 7.154197999393964835e+00 1.223677739487172111e+01 8.656814640908138125e-01 4.699095241715092186e-01 1.481930213152716780e-01 1.481930213152716780e-01 -1.471931372188341469e-01
7.938293362810113329e+00 1.490161876744403813e+01 3.666276304429489485e+00 1.636732678814506059e+01 1.179762877789452524e+01 2.246570447519844027e+00 1.461535107844636361e+00 7.734939684325976561e-01 7.734939684325976561e-01 8.185902817113944963e+00
1.079498605054119764e+01 3.448579360313920317e-01 1.266670518879640772e+00 4.417498947930705100e+01 1.166472853854616432e+01 2.084112920057605400e+00 3.211462608444271893e+00 1.398794915549925078e+00 1.398794915549925078e+00 3.099797067209159263e+00
5.235696131263694930e+00 1.508588156277837378e+01 1.705355068697075183e+01 8.290063192527661329e+00 1.128336263432912645e+01 6.219951728974555394e-01 1.928182441337872310e+00 5.390061132636009278e-01 5.390061132636009278e-01 -1.514209890475164411e-01
1.106761647302175788e+01 8.284909298620107165e+00 -2.067716301421959613e-01 5.639711075215701364e+00 9.041393379235030281e+00 2.246570447519844027e+00 1.928182441337872310e+00 6.953313500429321170e-01 6.953313500429321170e-01 7.587661783355401646e+00
9.585929394323063235e+00 8.871200011047545075e+00 1.519260601569098590e+00 7.196267080621138845e+00 8.972054123922839963e+00 2.084112920057605400e+00 2.161506108084490396e+00 1.164307060380926906e+00 1.164307060380926906e+00 1.286048632704459793e+00
3.682888072787462885e+00 8.636683726076569201e+00 2.193695895230026949e+01 4.672122206990700910e+00 8.475122794185489639e+00 6.219951728974555394e-01 7.032331909181273044e-01 -8.629483385372641036e-02 -8.629483385372641036e-02 -2.169526923920918060e-01
7.736783920107090928e+00 8.201153482559044861e+00 7.413029197656445746e+00 4.587984044536352890e+00 8.295996384629003018e+00 2.084112920057605400e+00 1.694858774591254447e+00 9.298192052119301776e-01 9.298192052119301776e-01 4.066554523385448872e-01
1.033269968198720434e+01 -2.079304499716198573e-01 8.791679966217143261e-02 5.261089344171136162e+00 8.151539602728609779e+00 1.515511573939769319e+00 3.269793525130926692e+00 -2.978311714271362654e+00 -2.978311714271362654e+00 -1.281678039897638788e-01
