,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
79,2012.0,2.64,2.52,0.16,1.12,6.45,41.0,1307.0,L,0
80,2010.0,3.17,1.79,1.03,0.46,6.44,77.0,368.0,L,0
81,2001.0,4.98,1.3,0.08,0.07,6.43,68.0,1283.0,H,1
82,2011.0,2.55,2.6,0.25,1.0,6.41,16.0,2527.0,L,0
83,2004.0,2.57,1.58,2.06,0.02,6.41,28.0,222.0,L,0
84,2002.0,3.64,1.2,1.49,0.07,6.4,46.0,597.0,H,1
85,2009.0,4.34,1.34,0.06,0.61,6.34,32.0,1163.0,L,0
86,2010.0,3.7,1.95,0.09,0.58,6.32,96.0,2316.0,H,1
87,2002.0,4.01,1.26,0.87,0.17,6.31,61.0,439.0,H,1
88,2004.0,0.08,6.21,0.135,0.02,6.29,57.0,2182.0,H,1
89,1999.0,3.11,2.8,0.02,0.33,6.26,22.0,78.0,H,1
90,2011.0,4.05,1.59,0.07,0.5,6.21,96.0,1504.0,H,1
91,2010.0,3.92,1.73,0.04,0.51,6.19,51.0,95.0,L,0
92,2006.0,3.54,1.88,0.07,0.02,6.09,88.0,2295.0,H,1
93,2014.0,0.8,4.33,0.05,0.9,6.08,47.0,988.0,L,0
94,2001.0,2.45,2.01,0.87,0.72,6.05,42.0,1026.0,H,1
95,1998.0,3.18,1.83,0.78,0.24,6.03,20.0,918.0,H,1
96,2006.0,1.88,0.03,2.33,1.74,5.95,64.0,972.0,H,1
97,2013.0,2.41,2.18,0.28,0.99,5.87,98.0,8003.0,H,1
98,2008.0,2.8,1.98,0.17,0.87,5.82,85.0,23.0,H,1
99,1998.0,1.88,1.47,2.02,0.45,5.82,13.0,364.0,H,1
100,2009.0,0.63,0.67,4.35,0.15,5.8,29.0,197.0,H,1
101,1996.0,2.26,1.89,1.36,0.23,5.74,8.0,102.0,H,1
102,2014.0,2.49,2.07,0.16,0.92,5.64,95.0,5380.0,L,0
103,2007.0,3.57,1.55,0.05,0.51,5.64,17.0,62.0,L,0
104,2006.0,3.07,1.91,0.07,0.57,5.63,35.0,21.0,L,0
105,2009.0,2.54,1.93,0.21,0.86,5.55,70.0,1202.0,H,1
106,2007.0,3.28,1.64,0.07,0.56,5.54,17.0,1074.0,L,0
107,2009.0,2.99,1.9,0.1,0.5,5.49,90.0,516.0,H,1
108,2001.0,3.14,1.24,0.91,0.2,5.49,19.0,41.0,H,1
109,2008.0,0.47,0.55,4.13,0.34,5.48,48.0,124.0,H,1
110,2011.0,2.71,1.85,0.11,0.81,5.48,42.0,2162.0,H,1
111,2014.0,2.81,2.19,0.05,0.47,5.48,14.0,764.0,H,1
112,2001.0,2.62,1.64,0.99,0.23,5.47,24.0,108.0,H,1
113,2001.0,2.07,2.29,0.14,0.82,5.42,22.0,156.0,L,0
114,2008.0,2.73,1.83,0.04,0.83,5.39,45.0,409.0,H,1
115,2016.0,1.85,2.5,0.19,0.85,5.38,113.0,7064.0,H,1
116,2009.0,1.74,1.21,1.87,0.51,5.33,83.0,2483.0,L,0
117,2000.0,0.16,0.77,2.78,0.14,5.3,22.0,779.0,H,1
118,2012.0,3.13,1.69,0.03,0.44,5.29,61.0,1196.0,L,0
119,1997.0,2.3,2.46,0.2,0.28,5.24,13.0,28.0,L,0
120,2012.0,2.3,1.34,1.27,0.32,5.22,70.0,733.0,H,1
121,2004.0,0.65,0.75,3.61,0.2,5.21,63.0,245.0,H,1
122,2007.0,1.21,2.43,1.03,0.52,5.19,14.0,147.0,H,1
123,2012.0,1.09,3.47,0.03,0.57,5.16,48.0,403.0,L,0
124,2012.0,2.44,2.16,0.05,0.54,5.14,29.0,9629.0,L,0
125,2003.0,1.98,2.23,0.13,0.8,5.13,30.0,100.0,L,0
126,2006.0,3.81,0.63,0.05,0.68,5.12,69.0,112.0,H,1
127,2010.0,3.59,1.08,0.05,0.38,5.1,88.0,604.0,L,0
128,2007.0,1.85,1.8,0.95,0.48,5.08,57.0,416.0,H,1
129,2010.0,0.61,3.28,0.06,1.12,5.07,51.0,233.0,H,1
130,1996.0,2.05,1.16,1.11,0.73,5.05,8.0,266.0,H,1
131,2007.0,3.49,0.01,0.01,1.48,4.98,24.0,46.0,H,1
132,2007.0,3.05,1.17,0.29,0.46,4.98,34.0,47.0,L,0
133,2007.0,2.31,1.72,0.12,0.77,4.92,66.0,2306.0,H,1
134,2005.0,0.12,0.26,0.01,0.02,4.91,29.0,121.0,H,1
135,2010.0,2.57,1.68,0.04,0.58,4.84,82.0,3052.0,H,1
136,2007.0,1.91,2.0,0.09,0.82,4.82,40.0,769.0,L,0
137,1999.0,2.57,1.57,0.44,0.21,4.79,20.0,233.0,H,1
138,2007.0,2.83,1.48,0.05,0.45,4.76,9.0,46.0,L,0
139,2011.0,2.99,1.27,0.06,0.42,4.73,87.0,1472.0,H,1
140,2000.0,3.05,1.41,0.02,0.2,4.68,19.0,299.0,H,1
141,1996.0,2.29,1.97,0.13,0.24,4.63,13.0,147.0,H,1
142,2008.0,1.82,1.12,1.32,0.36,4.62,50.0,119.0,L,0
143,2015.0,2.07,1.71,0.08,0.76,4.62,78.0,1264.0,H,1
144,2002.0,0.11,0.99,0.89,0.02,4.6,80.0,968.0,H,1
145,2007.0,3.04,1.11,0.05,0.43,4.6,36.0,87.0,H,1
146,2013.0,1.8,1.39,1.11,0.29,4.59,74.0,458.0,H,1
147,2011.0,2.08,1.97,0.06,0.46,4.57,83.0,617.0,L,0
148,2004.0,4.18,0.26,0.01,0.08,4.53,30.0,78.0,H,1
149,2007.0,3.19,0.91,0.01,0.42,4.53,69.0,165.0,H,1
150,2006.0,3.63,0.24,0.01,0.61,4.49,29.0,39.0,H,1
151,2015.0,2.78,1.27,0.03,0.41,4.48,101.0,2438.0,L,0
152,2002.0,2.71,1.51,0.03,0.23,4.48,25.0,41.0,L,0
153,2016.0,1.61,2.0,0.15,0.71,4.46,82.0,1129.0,L,0
154,2005.0,2.71,1.29,0.02,0.43,4.45,22.0,997.0,H,1
155,2015.0,1.54,1.18,1.46,0.26,4.43,88.0,1184.0,H,1
156,2012.0,2.52,1.11,0.46,0.33,4.42,61.0,471.0,L,0
157,2001.0,2.66,1.29,0.01,0.46,4.41,34.0,298.0,H,1
158,2006.0,2.82,1.03,0.13,0.4,4.38,90.0,1109.0,H,1
159,2005.0,2.03,1.79,0.08,0.47,4.37,36.0,137.0,H,1
160,2014.0,1.56,1.93,0.19,0.68,4.36,32.0,207.0,L,0
161,2006.0,1.74,1.72,0.14,0.75,4.34,70.0,715.0,H,1
162,2005.0,2.2,0.58,1.38,0.17,4.33,64.0,766.0,H,1
163,2013.0,2.11,1.16,0.73,0.32,4.32,83.0,1607.0,H,1
164,2014.0,0.58,3.02,0.04,0.04,4.28,18.0,109.0,L,0
165,2008.0,0.14,1.24,0.11,0.41,4.27,95.0,2423.0,L,0
166,2001.0,3.0,1.11,0.14,0.02,4.24,10.0,6.0,L,0
167,2009.0,2.24,1.31,0.07,0.61,4.23,70.0,1122.0,H,1
168,2004.0,0.14,0.06,0.83,1.93,4.23,68.0,955.0,H,1
169,2015.0,2.51,1.32,0.01,0.38,4.22,39.0,1749.0,L,0
170,2013.0,0.92,2.89,0.01,0.4,4.22,41.0,435.0,L,0
171,2006.0,2.45,1.01,0.05,0.75,4.21,59.0,109.0,H,1
172,2005.0,0.78,2.55,0.04,0.84,4.21,18.0,47.0,L,0
173,2003.0,0.88,0.06,0.235,0.83,4.2,32.0,22.0,L,0
174,2007.0,1.28,1.82,0.57,0.52,4.19,67.0,120.0,L,0
175,2011.0,2.25,1.47,0.04,0.43,4.19,77.0,564.0,L,0
176,2009.0,2.03,1.04,0.58,0.52,4.16,61.0,330.0,H,1
177,2002.0,3.36,0.21,0.01,0.56,4.14,25.0,65.0,H,1
178,2007.0,2.57,1.52,0.05,0.03,4.09,46.0,785.0,H,1
179,2016.0,1.1,2.15,0.21,0.61,4.08,31.0,809.0,H,1
180,2007.0,2.32,0.04,0.04,1.67,4.07,70.0,28.0,L,0
181,2005.0,0.12,2.26,0.9,0.77,4.06,18.0,23.0,L,0
182,2010.0,2.66,1.03,0.04,0.33,4.05,81.0,769.0,H,1
183,2007.0,2.35,1.27,0.03,0.41,4.05,66.0,381.0,H,1
184,2014.0,1.4,1.9,0.11,0.64,4.05,80.0,28.0,L,0
185,2000.0,1.68,1.51,0.51,0.35,4.05,25.0,117.0,H,1
186,2014.0,1.13,2.18,0.1,0.63,4.04,32.0,1653.0,H,1
187,2005.0,2.08,1.35,0.12,0.54,3.98,21.0,13.0,L,0
188,2009.0,2.67,0.87,0.05,0.38,3.97,76.0,681.0,H,1
189,2015.0,1.02,2.13,0.23,0.59,3.97,79.0,10179.0,H,1
190,2014.0,1.19,2.07,0.08,0.62,3.96,40.0,2050.0,L,0
191,2015.0,1.53,1.69,0.1,0.64,3.95,89.0,2679.0,H,1
192,2011.0,2.03,1.16,0.37,0.02,3.95,81.0,1958.0,H,1
