,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
2552,2006.0,0.19,0.27,0.01,0.02,0.48,49.0,33.0,L,0
2553,2009.0,0.19,0.05,0.04,0.24,0.48,22.0,28.0,L,0
2554,2008.0,0.08,0.35,0.04,0.05,0.48,17.0,17.0,L,0
2555,2002.0,0.23,0.18,0.1,0.06,0.48,10.0,10.0,H,1
2556,2006.0,0.16,0.01,0.29,0.01,0.48,34.0,21.0,L,0
2557,2000.0,0.14,0.11,0.19,0.04,0.47,18.0,9.0,L,0
2558,2002.0,0.23,0.18,0.1,0.06,0.47,19.0,13.0,L,0
2559,2007.0,0.14,0.01,0.31,0.02,0.47,29.0,16.0,L,0
2560,2012.0,0.28,0.15,0.05,0.04,0.47,30.0,132.0,L,0
2561,2010.0,0.25,0.17,0.04,0.04,0.5,24.0,17.0,L,0
2562,2007.0,0.42,0.04,0.05,0.04,0.47,17.0,29.0,L,0
2563,2015.0,0.38,0.04,0.04,0.05,0.47,27.0,54.0,L,0
2564,2010.0,0.2,0.23,0.04,0.05,0.47,66.0,63.0,L,0
2565,2012.0,0.31,0.1,0.03,0.04,0.47,45.0,177.0,L,0
2566,2001.0,0.23,0.18,0.14,0.06,0.47,59.0,328.0,H,1
2567,2014.0,0.08,0.36,0.05,0.03,0.47,49.0,1154.0,L,0
2568,2008.0,0.06,0.39,0.04,0.01,0.47,5.0,4.0,L,0
2569,2009.0,0.35,0.08,0.04,0.04,0.47,17.0,18.0,L,0
2570,2008.0,0.25,0.17,0.01,0.05,0.48,47.0,95.0,L,0
2571,2012.0,0.17,0.27,0.05,0.04,0.47,28.0,49.0,L,0
2572,2000.0,0.05,0.04,0.38,0.01,0.47,15.0,10.0,L,0
2573,2006.0,0.04,0.03,0.39,0.02,0.47,45.0,59.0,H,1
2574,2008.0,0.41,0.03,0.04,0.04,0.47,16.0,36.0,H,1
2575,2002.0,0.23,0.18,0.1,0.06,0.47,7.0,16.0,L,0
2576,2009.0,0.19,0.23,0.04,0.05,0.47,22.0,5.0,L,0
2577,2010.0,0.13,0.09,0.47,0.02,0.47,4.0,28.0,L,0
2578,2009.0,0.19,0.2,0.01,0.08,0.47,48.0,98.0,L,0
2579,2007.0,0.41,0.02,0.05,0.04,0.47,15.0,4.0,L,0
2580,2005.0,0.23,0.18,0.12,0.06,0.47,31.0,10.0,L,0
2581,2008.0,0.22,0.2,0.04,0.05,0.47,42.0,23.0,L,0
2582,2012.0,0.21,0.18,0.05,0.08,0.47,36.0,24.0,L,0
2583,2006.0,0.23,0.18,0.05,0.06,0.47,19.0,8.0,L,0
2584,2006.0,0.35,0.1,0.05,0.02,0.47,19.0,11.0,L,0
2585,2007.0,0.1,0.22,0.02,0.12,0.47,25.0,18.0,L,0
2586,2009.0,0.14,0.45,0.04,0.02,0.47,67.0,1502.0,H,1
2587,2006.0,0.43,0.01,0.05,0.04,0.47,22.0,13.0,L,0
2588,2008.0,0.14,0.27,0.04,0.05,0.47,12.0,15.0,L,0
2589,2010.0,0.37,0.01,0.07,0.02,0.47,26.0,13.0,L,0
2590,2009.0,0.27,0.03,0.04,0.17,0.47,17.0,18.0,L,0
2591,2003.0,0.23,0.18,0.235,0.06,0.47,40.0,32.0,L,0
2592,2009.0,0.32,0.1,0.01,0.04,0.47,76.0,82.0,H,1
2593,2006.0,0.33,0.12,0.05,0.01,0.47,8.0,5.0,L,0
2594,2009.0,0.14,0.27,0.04,0.06,0.47,13.0,16.0,L,0
2595,2007.0,0.43,0.04,0.05,0.04,0.47,12.0,28.0,L,0
2596,2005.0,0.39,0.01,0.12,0.06,0.47,15.0,20.0,L,0
2597,2009.0,0.12,0.06,0.27,0.02,0.47,37.0,52.5,L,0
2598,2011.0,0.28,0.13,0.01,0.04,0.47,56.0,44.0,L,0
2599,2014.0,0.3,0.12,0.05,0.04,0.47,23.0,152.0,L,0
2600,2005.0,0.33,0.12,0.12,0.01,0.47,8.0,28.0,L,0
2601,2007.0,0.41,0.02,0.05,0.04,0.47,21.0,17.0,L,0
2602,2005.0,0.3,0.04,0.1,0.03,0.47,76.0,223.0,H,1
2603,2004.0,0.23,0.06,0.135,0.06,0.47,19.0,21.0,L,0
2604,2005.0,0.12,0.04,0.12,0.01,0.47,28.0,19.0,L,0
2605,2004.0,0.3,0.08,0.07,0.01,0.47,54.0,142.0,H,1
2606,2012.0,0.2,0.04,0.21,0.02,0.46,22.0,22.0,L,0
2607,2002.0,0.23,0.18,0.1,0.06,0.46,22.0,7.0,H,1
2608,2007.0,0.23,0.18,0.05,0.06,0.46,17.0,9.0,L,0
2609,2001.0,0.33,0.12,0.14,0.01,0.46,15.0,61.0,L,0
2610,2010.0,0.09,0.22,0.03,0.12,0.46,11.0,9.0,L,0
2611,2004.0,0.25,0.09,0.12,0.01,0.46,13.0,11.0,L,0
2612,2011.0,0.26,0.1,0.06,0.02,0.46,28.0,65.0,L,0
2613,2002.0,0.33,0.12,0.1,0.01,0.56,4.0,4.0,L,0
2614,2007.0,0.38,0.05,0.05,0.04,0.46,34.0,28.0,L,0
2615,2010.0,0.13,0.29,0.04,0.17,0.46,25.0,51.0,L,0
2616,2005.0,0.33,0.04,0.12,0.01,0.46,6.0,6.0,L,0
2617,2002.0,0.2,0.15,0.06,0.05,0.46,30.0,14.0,H,1
2618,2001.0,0.13,0.1,0.2,0.03,0.46,15.0,22.0,L,0
2619,2002.0,0.33,0.12,0.1,0.01,0.46,10.0,23.0,L,0
2620,2004.0,0.33,0.12,0.135,0.01,0.46,5.0,23.0,L,0
2621,2007.0,0.23,0.18,0.05,0.03,0.46,20.0,13.0,L,0
2622,2005.0,0.38,0.04,0.12,0.06,0.46,20.0,23.0,L,0
2623,2005.0,0.38,0.01,0.12,0.06,0.46,13.0,29.0,L,0
2624,2011.0,0.24,0.15,0.06,0.02,0.46,41.0,11.0,L,0
2625,2006.0,0.42,0.03,0.05,0.04,0.46,32.0,60.0,L,0
2626,2005.0,0.38,0.01,0.12,0.06,0.5700000000000001,30.0,30.0,L,0
2627,2002.0,0.22,0.18,0.1,0.02,0.46,37.0,29.0,L,0
2628,2010.0,0.17,0.23,0.04,0.05,0.46,8.0,18.0,L,0
2629,2003.0,0.33,0.12,0.235,0.01,0.46,6.0,12.0,H,1
2630,2007.0,0.42,0.01,0.05,0.03,0.46,14.0,11.0,L,0
2631,2014.0,0.12,0.27,0.05,0.07,0.46,22.0,28.0,L,0
2632,2012.0,0.21,0.13,0.04,0.06,0.46,41.0,262.0,L,0
2633,2009.0,0.22,0.17,0.04,0.06,0.46,8.0,32.0,L,0
2634,2011.0,0.12,0.38,0.06,0.08,0.46,18.0,17.0,L,0
2635,2000.0,0.25,0.09,0.15,0.03,0.52,11.0,6.0,L,0
2636,2005.0,0.22,0.17,0.12,0.06,0.46,25.0,51.0,L,0
2637,2009.0,0.29,0.13,0.04,0.04,0.46,17.0,23.0,L,0
2638,2002.0,0.14,0.11,0.1,0.04,0.46,23.0,19.0,L,0
2639,2007.0,0.35,0.04,0.05,0.05,0.46,33.0,8.0,L,0
2640,2003.0,0.36,0.08,0.235,0.02,0.46,44.0,31.0,H,1
2641,2006.0,0.23,0.14,0.05,0.09,0.46,19.0,64.0,L,0
2642,2007.0,0.3,0.12,0.05,0.04,0.46,25.0,14.0,L,0
2643,2013.0,0.3,0.11,0.06,0.04,0.45,6.0,58.0,L,0
2644,2014.0,0.09,0.34,0.05,0.03,0.45,18.0,35.0,L,0
2645,2003.0,0.34,0.09,0.02,0.01,0.45,23.0,45.0,L,0
2646,2014.0,0.2,0.21,0.05,0.04,0.45,22.0,11.0,L,0
2647,2004.0,0.34,0.1,0.135,0.02,0.45,16.0,18.0,H,1
2648,2014.0,0.35,0.05,0.05,0.05,0.45,18.0,47.0,L,0
2649,2012.0,0.21,0.14,0.01,0.09,0.45,15.0,221.0,L,0
2650,2002.0,0.22,0.17,0.1,0.06,0.45,5.0,5.0,L,0
2651,2006.0,0.29,0.01,0.12,0.03,0.45,32.0,27.0,L,0
2652,2011.0,0.43,0.07,0.06,0.03,0.5900000000000001,17.0,13.0,L,0
2653,2006.0,0.38,0.01,0.05,0.06,0.5,22.0,15.0,L,0
2654,2011.0,0.42,0.07,0.06,0.03,0.45,22.0,28.0,L,0
2655,2008.0,0.13,0.27,0.04,0.05,0.45,12.0,20.0,L,0
2656,2005.0,0.22,0.17,0.12,0.06,0.45,37.0,52.0,L,0
2657,2004.0,0.22,0.17,0.135,0.06,0.45,21.0,23.0,L,0
2658,2007.0,0.42,0.04,0.05,0.03,0.45,15.0,6.0,L,0
2659,2008.0,0.42,0.08,0.04,0.03,0.45,17.0,21.0,L,0
2660,2007.0,0.42,0.04,0.05,0.03,0.45,17.0,17.0,L,0
2661,2014.0,0.21,0.2,0.05,0.04,0.45,22.0,28.0,L,0
2662,2009.0,0.42,0.09,0.04,0.03,0.45,17.0,17.0,L,0
2663,2003.0,0.34,0.1,0.235,0.02,0.45,30.0,30.0,H,1
2664,2009.0,0.03,0.02,0.38,0.02,0.45,28.0,10.0,L,0
2665,2008.0,0.41,0.08,0.04,0.03,0.45,7.0,4.0,L,0
2666,2008.0,0.3,0.11,0.04,0.04,0.45,54.0,26.0,L,0
2667,2011.0,0.4,0.03,0.06,0.03,0.45,27.0,24.0,L,0
2668,2006.0,0.37,0.03,0.05,0.04,0.49,17.0,18.0,L,0
2669,2007.0,0.02,0.38,0.05,0.05,0.45,23.0,27.0,L,0
2670,2007.0,0.39,0.02,0.05,0.03,0.45,16.0,22.0,L,0
2671,2011.0,0.2,0.15,0.03,0.07,0.45,52.0,58.0,L,0
2672,2014.0,0.21,0.21,0.05,0.04,0.45,22.0,20.0,L,0
2673,2001.0,0.32,0.12,0.14,0.01,0.45,14.0,13.0,H,1
2674,2006.0,0.22,0.03,0.05,0.2,0.5,52.0,116.0,L,0
2675,2004.0,0.32,0.12,0.135,0.01,0.45,17.0,18.0,L,0
2676,2007.0,0.39,0.02,0.01,0.04,0.45,17.0,17.0,L,0
2677,2007.0,0.41,0.04,0.05,0.03,0.45,9.0,28.0,L,0
2678,2007.0,0.12,0.28,0.05,0.05,0.45,42.0,30.0,L,0
2679,2005.0,0.34,0.1,0.12,0.02,0.45,48.0,47.0,L,0
2680,2004.0,0.35,0.09,0.135,0.01,0.45,17.0,7.0,L,0
2681,2011.0,0.21,0.16,0.01,0.07,0.45,48.0,103.0,L,0
2682,2004.0,0.35,0.09,0.135,0.01,0.585,47.0,81.0,H,1
2683,2009.0,0.4,0.02,0.04,0.03,0.45,40.0,37.0,L,0
2684,2003.0,0.36,0.07,0.235,0.01,0.45,17.0,18.0,L,0
2685,2010.0,0.13,0.2,0.04,0.04,0.45,42.0,46.0,L,0
2686,2002.0,0.22,0.17,0.1,0.06,0.45,22.0,6.0,L,0
2687,2011.0,0.13,0.21,0.07,0.03,0.45,62.0,113.0,H,1
2688,2014.0,0.13,0.29,0.05,0.03,0.45,23.0,1647.0,H,1
2689,2013.0,0.23,0.14,0.06,0.08,0.45,27.0,221.0,L,0
2690,2014.0,0.15,0.26,0.05,0.03,0.45,18.0,3288.0,L,0
2691,2004.0,0.32,0.12,0.135,0.01,0.45,38.0,16.0,H,1
2692,2011.0,0.3,0.11,0.01,0.04,0.45,71.0,139.0,L,0
2693,2010.0,0.42,0.09,0.04,0.03,0.45,13.0,4.0,L,0
2694,2011.0,0.13,0.23,0.06,0.02,0.44,46.0,162.0,L,0
2695,2009.0,0.42,0.09,0.04,0.03,0.44,18.0,20.0,L,0
2696,2009.0,0.41,0.09,0.04,0.03,0.44,17.0,13.0,L,0
2697,2006.0,0.37,0.01,0.05,0.06,0.44,19.0,27.0,L,0
2698,2010.0,0.38,0.04,0.04,0.03,0.44,4.0,16.0,L,0
2699,2005.0,0.06,0.33,0.02,0.03,0.44,19.0,9.0,H,1
2700,2004.0,0.22,0.17,0.135,0.06,0.44,25.0,12.0,L,0
2701,2002.0,0.22,0.17,0.1,0.06,0.44,27.0,41.0,L,0
2702,2004.0,0.22,0.17,0.135,0.06,0.44,41.0,19.0,L,0
2703,2011.0,0.09,0.24,0.03,0.08,0.44,49.0,28.0,L,0
2704,2005.0,0.3,0.12,0.12,0.02,0.44,50.0,199.0,H,1
2705,2012.0,0.26,0.14,0.01,0.04,0.44,35.0,47.0,L,0
2706,2014.0,0.13,0.21,0.02,0.07,0.44,32.0,115.0,L,0
2707,2014.0,0.19,0.18,0.05,0.07,0.44,46.0,32.0,L,0
2708,2007.0,0.04,0.26,0.05,0.14,0.44,26.0,25.0,H,1
2709,2003.0,0.22,0.17,0.235,0.06,0.44,33.0,21.0,L,0
2710,2008.0,0.37,0.03,0.02,0.03,0.44,26.0,21.0,L,0
2711,2002.0,0.35,0.08,0.1,0.01,0.44,14.0,11.0,H,1
2712,2005.0,0.37,0.01,0.12,0.06,0.44,32.0,65.0,H,1
2713,2005.0,0.33,0.1,0.12,0.02,0.44,22.0,21.0,L,0
2714,2007.0,0.36,0.04,0.05,0.04,0.44,36.0,17.0,L,0
2715,2006.0,0.33,0.1,0.05,0.02,0.44,22.0,15.0,H,1
2716,2008.0,0.16,0.23,0.04,0.05,0.44,67.0,88.0,L,0
2717,2007.0,0.4,0.01,0.05,0.03,0.44,18.0,6.0,L,0
2718,2005.0,0.13,0.04,0.31,0.01,0.44,41.0,45.0,L,0
2719,2008.0,0.1,0.29,0.04,0.05,0.44,17.0,13.0,L,0
2720,2009.0,0.26,0.14,0.04,0.04,0.44,5.0,5.0,L,0
2721,2009.0,0.19,0.2,0.04,0.05,0.44,6.0,6.0,L,0
2722,2012.0,0.28,0.12,0.05,0.04,0.44,52.0,160.0,H,1
2723,2010.0,0.17,0.13,0.06,0.08,0.44,51.0,20.0,L,0
2724,2004.0,0.34,0.06,0.135,0.02,0.44,18.0,12.0,H,1
2725,2007.0,0.17,0.04,0.05,0.03,0.44,18.0,20.0,L,0
2726,2011.0,0.41,0.07,0.06,0.03,0.44,18.0,5.0,L,0
2727,2003.0,0.34,0.09,0.235,0.01,0.44,30.0,44.0,L,0
2728,2013.0,0.26,0.12,0.01,0.04,0.44,65.0,1438.0,L,0
2729,2003.0,0.31,0.12,0.235,0.01,0.44,6.0,28.0,L,0
2730,2012.0,0.19,0.28,0.05,0.11,0.44,9.0,89.0,L,0
2731,2009.0,0.09,0.02,0.32,0.01,0.44,26.0,22.0,L,0
2732,2009.0,0.25,0.14,0.04,0.04,0.47,5.0,6.0,L,0
2733,2002.0,0.34,0.09,0.1,0.01,0.44,18.0,65.0,H,1
2734,2002.0,0.11,0.09,0.1,0.01,0.44,41.0,17.0,H,1
2735,2009.0,0.41,0.09,0.04,0.03,0.5700000000000001,8.0,5.0,L,0
2736,2004.0,0.31,0.12,0.135,0.01,0.44,22.0,28.0,L,0
2737,2005.0,0.36,0.01,0.12,0.06,0.44,24.0,33.0,H,1
2738,2007.0,0.36,0.04,0.01,0.03,0.44,63.0,196.0,L,0
2739,2007.0,0.38,0.02,0.05,0.03,0.44,14.0,40.0,L,0
2740,2011.0,0.28,0.12,0.06,0.04,0.44,81.0,95.0,H,1
2741,2010.0,0.26,0.12,0.04,0.05,0.44,57.0,96.0,L,0
2742,2002.0,0.21,0.17,0.1,0.06,0.44,15.0,5.0,H,1
2743,2007.0,0.36,0.04,0.05,0.06,0.44,22.0,28.0,L,0
2744,2008.0,0.19,0.12,0.07,0.05,0.44,34.0,117.0,L,0
2745,2009.0,0.14,0.15,0.04,0.04,0.44,4.0,13.0,L,0
2746,2002.0,0.35,0.07,0.1,0.02,0.44,22.0,5.0,L,0
2747,2004.0,0.26,0.1,0.07,0.01,0.43,9.0,18.0,L,0
2748,2007.0,0.4,0.04,0.05,0.03,0.43,4.0,8.0,L,0
2749,2003.0,0.21,0.17,0.235,0.06,0.43,36.0,53.0,L,0
2750,2009.0,0.2,0.19,0.04,0.04,0.43,18.0,4.0,L,0
2751,2004.0,0.31,0.12,0.135,0.01,0.43,8.0,13.0,L,0
2752,2006.0,0.16,0.03,0.26,0.01,0.43,20.0,11.0,L,0
2753,2001.0,0.24,0.16,0.14,0.03,0.43,32.0,61.0,L,0
2754,2001.0,0.32,0.09,0.14,0.02,0.43,22.0,11.0,H,1
2755,2011.0,0.2,0.13,0.06,0.03,0.43,33.0,28.0,L,0
2756,2015.0,0.26,0.13,0.04,0.04,0.43,11.0,119.0,L,0
2757,2005.0,0.36,0.01,0.12,0.06,0.43,36.0,17.0,L,0
2758,2009.0,0.19,0.18,0.04,0.07,0.43,22.0,16.0,L,0
2759,2003.0,0.4,0.02,0.235,0.02,0.43,13.0,19.0,H,1
2760,2014.0,0.15,0.11,0.09,0.04,0.43,26.0,100.0,L,0
2761,2010.0,0.18,0.18,0.04,0.07,0.43,31.0,49.0,L,0
2762,2013.0,0.26,0.13,0.06,0.04,0.43,49.0,368.0,L,0
2763,2014.0,0.23,0.17,0.05,0.04,0.43,25.0,36.0,L,0
2764,2014.0,0.35,0.11,0.05,0.08,0.43,26.0,79.0,L,0
2765,2012.0,0.28,0.11,0.01,0.03,0.43,32.0,93.0,H,1
2766,2010.0,0.22,0.09,0.07,0.04,0.43,31.0,148.0,L,0
2767,2004.0,0.21,0.17,0.135,0.06,0.43,7.0,28.0,L,0
2768,2003.0,0.18,0.07,0.17,0.01,0.43,17.0,18.0,H,1
2769,2013.0,0.22,0.14,0.06,0.08,0.43,12.0,181.0,L,0
2770,2015.0,0.27,0.07,0.04,0.04,0.42,18.0,25.0,L,0
2771,2012.0,0.37,0.13,0.05,0.06,0.43,22.0,63.0,L,0
2772,2009.0,0.15,0.04,0.04,0.24,0.43,9.0,6.0,L,0
2773,2003.0,0.21,0.16,0.235,0.06,0.43,27.0,16.0,L,0
2774,2004.0,0.36,0.01,0.135,0.06,0.43,38.0,5.0,L,0
2775,2003.0,0.12,0.16,0.235,0.05,0.43,22.0,33.0,L,0
2776,2010.0,0.21,0.06,0.13,0.02,0.43,48.0,53.0,H,1
2777,2013.0,0.23,0.12,0.04,0.04,0.43,14.0,24.0,L,0
2778,2012.0,0.26,0.13,0.05,0.06,0.43,5.0,29.0,L,0
2779,2001.0,0.09,0.075,0.25,0.02,0.435,12.0,23.0,L,0
2780,2008.0,0.21,0.16,0.04,0.05,0.43,17.0,6.0,L,0
2781,2009.0,0.29,0.11,0.04,0.04,0.43,7.0,11.0,L,0
2782,2006.0,0.07,0.05,0.29,0.02,0.43,27.0,11.0,L,0
2783,2010.0,0.25,0.14,0.04,0.04,0.43,22.0,28.0,L,0
2784,2006.0,0.17,0.01,0.23,0.02,0.43,27.0,25.0,L,0
2785,2008.0,0.39,0.01,0.04,0.03,0.43,18.0,20.0,L,0
2786,2010.0,0.19,0.17,0.04,0.07,0.47,49.0,117.0,L,0
2787,2010.0,0.4,0.09,0.04,0.02,0.43,18.0,16.0,L,0
2788,2007.0,0.17,0.04,0.05,0.03,0.43,18.0,20.0,L,0
2789,2013.0,0.19,0.2,0.06,0.04,0.43,35.0,217.0,H,1
2790,2002.0,0.11,0.09,0.1,0.01,0.31,13.0,17.0,H,1
2791,2003.0,0.33,0.08,0.235,0.01,0.43,22.0,13.0,L,0
2792,2008.0,0.39,0.01,0.04,0.03,0.43,17.0,6.0,L,0
2793,2006.0,0.02,0.03,0.05,0.05,0.43,28.0,95.0,L,0
2794,2009.0,0.14,0.16,0.04,0.05,0.43,22.0,7.0,L,0
2795,2005.0,0.21,0.16,0.12,0.05,0.43,18.0,6.0,L,0
2796,2008.0,0.35,0.05,0.04,0.03,0.43,13.0,16.0,L,0
2797,2006.0,0.39,0.03,0.05,0.03,0.42,23.0,13.0,L,0
2798,2002.0,0.33,0.09,0.1,0.01,0.42,15.0,7.0,H,1
2799,2007.0,0.16,0.19,0.05,0.08,0.42,38.0,40.0,L,0
2800,2014.0,0.15,0.25,0.05,0.03,0.42,29.0,93.0,L,0
2801,2007.0,0.21,0.16,0.05,0.05,0.42,18.0,28.0,L,0
2802,2010.0,0.12,0.06,0.21,0.03,0.42,19.0,109.0,L,0
2803,2001.0,0.14,0.05,0.22,0.01,0.42,10.0,24.0,H,1
2804,2006.0,0.11,0.2,0.05,0.12,0.42,17.0,6.0,L,0
2805,2006.0,0.35,0.01,0.05,0.06,0.42,23.0,46.0,L,0
2806,2005.0,0.21,0.16,0.12,0.05,0.42,28.0,18.0,L,0
2807,2003.0,0.33,0.09,0.235,0.01,0.42,24.0,13.0,L,0
2808,2003.0,0.31,0.1,0.235,0.01,0.655,17.0,20.0,L,0
2809,2003.0,0.12,0.16,0.235,0.05,0.42,17.0,157.0,L,0
2810,2005.0,0.33,0.08,0.12,0.01,0.42,26.0,15.0,L,0
2811,2008.0,0.11,0.2,0.04,0.11,0.42,17.0,8.0,L,0
2812,2009.0,0.22,0.16,0.04,0.04,0.42,22.0,28.0,L,0
2813,1997.0,0.24,0.16,0.205,0.03,0.42,12.0,12.0,H,1
2814,2003.0,0.21,0.16,0.235,0.05,0.42,19.0,11.0,L,0
2815,2015.0,0.25,0.13,0.04,0.04,0.42,22.0,5.0,L,0
2816,2009.0,0.13,0.19,0.04,0.11,0.47,22.0,28.0,L,0
2817,2001.0,0.23,0.16,0.14,0.03,0.42,8.0,10.0,L,0
2818,2013.0,0.16,0.17,0.06,0.1,0.42,38.0,106.0,L,0
2819,2012.0,0.21,0.07,0.09,0.05,0.42,27.0,42.0,L,0
2820,2010.0,0.23,0.15,0.01,0.04,0.42,19.0,11.0,L,0
2821,2004.0,0.32,0.09,0.135,0.02,0.42,32.0,14.0,H,1
2822,2003.0,0.21,0.16,0.235,0.05,0.42,5.0,9.0,L,0
2823,2002.0,0.21,0.16,0.1,0.05,0.52,22.0,9.0,L,0
2824,2014.0,0.13,0.22,0.01,0.07,0.43,51.0,244.0,L,0
2825,2004.0,0.35,0.01,0.135,0.06,0.42,4.0,13.0,L,0
2826,2009.0,0.39,0.09,0.04,0.03,0.42,12.0,9.0,L,0
2827,2009.0,0.14,0.15,0.04,0.04,0.37,56.0,18.0,L,0
2828,2004.0,0.3,0.11,0.135,0.01,0.42,8.0,4.0,L,0
2829,2011.0,0.4,0.07,0.06,0.02,0.42,17.0,13.0,L,0
2830,2002.0,0.35,0.05,0.1,0.02,0.42,16.0,10.0,L,0
2831,2007.0,0.39,0.04,0.05,0.03,0.42,18.0,20.0,L,0
2832,2004.0,0.32,0.08,0.135,0.01,0.42,41.0,25.0,H,1
2833,2005.0,0.39,0.04,0.12,0.03,0.42,18.0,13.0,L,0
2834,2008.0,0.35,0.01,0.04,0.06,0.42,12.0,7.0,L,0
2835,2006.0,0.38,0.03,0.05,0.03,0.42,18.0,14.0,L,0
2836,2004.0,0.32,0.08,0.135,0.01,0.42,32.0,17.0,H,1
2837,2008.0,0.38,0.08,0.04,0.03,0.42,12.0,8.0,L,0
2838,2010.0,0.23,0.15,0.04,0.04,0.42,11.0,4.0,L,0
2839,2008.0,0.21,0.16,0.04,0.05,0.42,18.0,16.0,L,0
2840,2014.0,0.13,0.14,0.27,0.01,0.42,39.0,54.0,L,0
2841,2005.0,0.32,0.08,0.12,0.01,0.42,20.0,13.0,L,0
2842,2007.0,0.2,0.16,0.05,0.03,0.42,11.0,30.0,L,0
2843,2010.0,0.39,0.09,0.04,0.03,0.42,22.0,5.0,L,0
2844,2001.0,0.14,0.1,0.16,0.03,0.42,14.0,44.0,L,0
2845,2002.0,0.2,0.16,0.1,0.05,0.42,18.0,26.0,L,0
2846,2012.0,0.36,0.03,0.05,0.03,0.42,18.0,10.0,L,0
2847,2009.0,0.24,0.12,0.04,0.06,0.42,36.0,18.0,L,0
2848,2006.0,0.31,0.09,0.05,0.01,0.42,65.0,51.0,L,0
2849,2012.0,0.21,0.17,0.05,0.04,0.42,59.0,319.0,L,0
2850,2008.0,0.22,0.02,0.16,0.02,0.42,35.0,12.0,L,0
2851,2010.0,0.19,0.16,0.03,0.04,0.42,70.0,182.0,H,1
2852,2007.0,0.39,0.04,0.05,0.03,0.42,17.0,12.0,H,1
2853,2010.0,0.27,0.09,0.04,0.05,0.42,47.0,28.0,L,0
2854,2007.0,0.2,0.16,0.05,0.05,0.42,10.0,10.0,L,0
2855,2000.0,0.17,0.12,0.1,0.03,0.42,10.0,29.0,H,1
2856,2006.0,0.36,0.02,0.05,0.03,0.42,58.0,53.0,L,0
2857,2004.0,0.2,0.16,0.135,0.05,0.42,17.0,13.0,L,0
2858,2013.0,0.17,0.12,0.42,0.04,0.42,22.0,34.0,L,0
2859,2001.0,0.3,0.1,0.14,0.02,0.42,22.0,20.0,L,0
2860,2015.0,0.12,0.11,0.09,0.03,0.41,20.0,173.0,L,0
2861,2003.0,0.15,0.12,0.11,0.04,0.41,33.0,65.0,H,1
2862,2013.0,0.19,0.16,0.06,0.07,0.41,4.0,51.0,L,0
2863,2005.0,0.36,0.02,0.12,0.03,0.53,72.0,146.0,H,1
2864,2010.0,0.39,0.09,0.04,0.03,0.41,17.0,13.0,L,0
2865,1998.0,0.17,0.07,0.13,0.02,0.41,22.0,50.0,L,0
2866,2010.0,0.04,0.21,0.05,0.11,0.41,18.0,7.0,L,0
2867,2007.0,0.34,0.04,0.05,0.06,0.41,12.0,48.0,L,0
2868,2016.0,0.24,0.14,0.03,0.04,0.41,42.0,77.0,L,0
2869,2010.0,0.2,0.16,0.04,0.05,0.4499999999999999,18.0,16.0,L,0
2870,2005.0,0.26,0.13,0.12,0.02,0.41,39.0,28.0,L,0
2871,2007.0,0.36,0.02,0.05,0.03,0.41,58.0,63.0,L,0
2872,2016.0,0.05,0.31,0.03,0.06,0.45,17.0,12.0,L,0
2873,2007.0,0.22,0.09,0.04,0.07,0.41,43.0,62.0,L,0
2874,2015.0,0.13,0.15,0.07,0.06,0.41,32.0,81.0,L,0
2875,2006.0,0.11,0.16,0.05,0.05,0.41,44.0,20.0,L,0
2876,2013.0,0.07,0.2,0.09,0.05,0.41,12.0,70.0,H,1
2877,2015.0,0.12,0.15,0.04,0.04,0.41,12.0,27.0,L,0
2878,2010.0,0.13,0.27,0.04,0.14,0.41,5.0,6.0,L,0
2879,2007.0,0.27,0.08,0.05,0.07,0.41,31.0,14.0,L,0
2880,2014.0,0.31,0.06,0.05,0.04,0.41,22.0,180.0,L,0
2881,2009.0,0.38,0.09,0.04,0.02,0.41,8.0,17.0,L,0
2882,2010.0,0.19,0.15,0.04,0.06,0.41,41.0,24.0,L,0
2883,2009.0,0.29,0.07,0.04,0.06,0.41,17.0,18.0,L,0
2884,2014.0,0.07,0.26,0.02,0.06,0.41,19.0,28.0,L,0
2885,2012.0,0.2,0.18,0.05,0.03,0.41,31.0,228.0,L,0
2886,2007.0,0.01,0.39,0.05,0.02,0.41,44.0,3606.0,H,1
2887,2002.0,0.2,0.16,0.1,0.05,0.41,17.0,18.0,L,0
2888,2011.0,0.23,0.14,0.06,0.04,0.41,22.0,28.0,L,0
2889,2007.0,0.33,0.04,0.01,0.03,0.41,37.0,82.0,L,0
2890,2011.0,0.15,0.22,0.06,0.04,0.41,54.0,70.0,H,1
2891,2009.0,0.15,0.22,0.04,0.05,0.41,8.0,17.0,L,0
2892,2009.0,0.15,0.06,0.04,0.2,0.41,17.0,7.0,L,0
2893,2001.0,0.11,0.08,0.19,0.03,0.41,16.0,30.0,H,1
2894,2010.0,0.34,0.01,0.04,0.06,0.41,22.0,28.0,L,0
2895,2007.0,0.32,0.02,0.04,0.03,0.41,47.0,23.0,L,0
2896,2008.0,0.34,0.01,0.04,0.06,0.41,18.0,4.0,L,0
2897,2009.0,0.23,0.02,0.04,0.16,0.41,29.0,15.0,L,0
2898,2008.0,0.38,0.08,0.04,0.03,0.41,17.0,6.0,L,0
